countries,Region,Happiness.Rank,Happiness.Score,Lower.Confidence.Interval,Upper.Confidence.Interval,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Trust..Government.Corruption.,Generosity,Dystopia.Residual,ISO_code,year,region,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,pf_score,pf_rank,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
Albania,Central and Eastern Europe,109,4.655,4.546,4.764,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,ALB,2016,Eastern Europe,5.291751647,8.80680981,6.666666667,9.192592593,10,8.607142857,6.25,7.935563809,5.071813726,9.55365739,8.21489951,6.906901139,7.596280576,57,7.54,34,7.568140288,48,2
Algeria,Middle East and Northern Africa,38,6.355,6.227,6.483,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904,DZA,2016,Middle East & North Africa,3.819566026,8.043882199,5,4.944814815,5,7.380952381,0.833333333,3.616782254,4.690742835,7.253893581,4.127024824,5.268992397,5.281772109,147,4.99,159,5.135886055,155,4
Angola,Sub-Saharan Africa,141,3.866,3.753,3.979,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,AGO,2016,Sub-Saharan Africa,3.451813885,8.297864524,5,8.786666667,4,6.452380952,7.5,6.496684826,2.963635116,5.606605364,5.264754044,5.518500441,6.111324364,117,5.17,155,5.640662182,142,4
Argentina,Latin America and Caribbean,26,6.65,6.56,6.74,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,ARG,2016,Latin America & the Caribbean,5.744791027,9.040383237,10,7.795925926,7.5,8.738095238,10,5.346056135,3.904030401,5.614335974,3.982546906,5.369018774,8.099695682,42,4.84,160,6.469847841,107,3
Armenia,Central and Eastern Europe,121,4.36,4.266,4.454,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864,ARM,2016,Caucasus & Central Asia,5.003205353,8.830548737,6.666666667,6.222222222,6.5,7.154761905,8,7.003309536,5.809214965,9.521939951,8.143241004,7.378068688,6.912803602,84,7.57,29,7.241401801,57,2
Australia,Australia and New Zealand,9,7.313,7.241,7.385,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,AUS,2016,Oceania,7.77627878,9.873961805,10,9.075925926,10,9.392857143,9.25,6.544178144,7.919018594,9.452540278,7.526720988,8.465525923,9.184438453,11,7.98,10,8.582219227,4,1
Austria,Western Europe,12,7.119,7.045,7.193,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,AUT,2016,Western Europe,8.171748815,9.91263738,10,7.925185185,10,9.333333333,10,5.086294924,7.915986905,9.432829777,8.106732583,7.371334189,9.246948401,8,7.58,27,8.4134742,16,1
Azerbaijan,Central and Eastern Europe,81,5.291,5.226,5.356,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.2735,AZE,2016,Caucasus & Central Asia,4.270861177,8.667523503,5,5.461111111,3,4.70846197,6.25,5.175449013,5.652732259,7.513486983,7.216524628,6.874879541,5.676553478,131,6.49,106,6.083276739,130,4
Bahrain,Middle East and Northern Africa,42,6.218,6.128,6.308,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405,BHR,2016,Middle East & North Africa,5.900338722,8.006967709,6.666666667,7.461481481,5,4.130952381,3.333333333,8.317484908,5.265601627,9.404353401,7.403403472,7.415786274,6.136069994,114,7.56,30,6.848034997,75,2
Bangladesh,Southern Asia,110,4.643,4.56,4.726,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904,BGD,2016,South Asia,3.132892486,7.587379567,5,5.933333333,7,7.041990115,1.25,8.545118177,3.234259181,6.983616746,6.039372579,6.690103383,5.302600358,146,6.3,120,5.801300179,138,4
